filename,section,desktop_or_mobile,width,height,motif_family,interlock_notes,safe_zone_notes,status
lwt-about-bg-desktop-master.png,full-page master,desktop,1440,4742,approved art source stack,Hero/Story derived from approved combined interlock; lower pieces stacked in approved order,none,exported
lwt-about-hero-desktop.png,Hero,desktop,1440,510,"approved combined Hero/Company Bio: deep navy wellness-science, molecule/hex/helix/orbit, one major interlocking signal wave",approved source art; no independent procedural art generated during slicing/preview step,Hero headline/copy/buttons; right consult image/media area,exported
assets/safe-zones/lwt-about-hero-desktop-safe-zones.png,Hero,desktop-safe-zone-preview,1440,510,"approved combined Hero/Company Bio: deep navy wellness-science, molecule/hex/helix/orbit, one major interlocking signal wave",safe-zone overlay copy of approved clean section export,Hero headline/copy/buttons; right consult image/media area,exported
lwt-about-story-desktop.png,Story / company bio,desktop,1440,450,"approved combined Hero/Company Bio: warm cream company-bio field with molecule/orbit accents, no floral",approved source art; no independent procedural art generated during slicing/preview step,Left copy block; center timeline block; right image/card block,exported
assets/safe-zones/lwt-about-story-desktop-safe-zones.png,Story / company bio,desktop-safe-zone-preview,1440,450,"approved combined Hero/Company Bio: warm cream company-bio field with molecule/orbit accents, no floral",safe-zone overlay copy of approved clean section export,Left copy block; center timeline block; right image/card block,exported
lwt-about-trust-strip-desktop.png,Trust strip,desktop,1440,480,"approved dark trust support band with controlled signal/orbit accents, no proof content",approved source art; no independent procedural art generated during slicing/preview step,Full coded stat strip area,exported
assets/safe-zones/lwt-about-trust-strip-desktop-safe-zones.png,Trust strip,desktop-safe-zone-preview,1440,480,"approved dark trust support band with controlled signal/orbit accents, no proof content",safe-zone overlay copy of approved clean section export,Full coded stat strip area,exported
lwt-about-practitioners-desktop.png,Meet the Practitioners,desktop,1440,576,"approved biotech/molecule/helix/health-science perimeter language, no floral",approved source art; no independent procedural art generated during slicing/preview step,Intro/header area; practitioner card row,exported
assets/safe-zones/lwt-about-practitioners-desktop-safe-zones.png,Meet the Practitioners,desktop-safe-zone-preview,1440,576,"approved biotech/molecule/helix/health-science perimeter language, no floral",safe-zone overlay copy of approved clean section export,Intro/header area; practitioner card row,exported
lwt-about-model-desktop.png,Living Well Today Model,desktop,1440,718,"approved warm cream systems background with central glow, orbit rail, organized science geometry, no floral",approved source art; no independent procedural art generated during slicing/preview step,Heading/copy area; model icon/process rail,exported
assets/safe-zones/lwt-about-model-desktop-safe-zones.png,Living Well Today Model,desktop-safe-zone-preview,1440,718,"approved warm cream systems background with central glow, orbit rail, organized science geometry, no floral",safe-zone overlay copy of approved clean section export,Heading/copy area; model icon/process rail,exported
lwt-about-technology-desktop.png,Technology,desktop,1440,720,"approved dark biosignal/technology background with abstract sensing/anatomy science accents, no floral",approved source art; no independent procedural art generated during slicing/preview step,Technology card/text/media zone,exported
